sc_r,sc_eps,oc_r,oc_eps,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14
4.5,0.22,3.45,0.06,2.5137647690387017,2.58420479400749,2.4370994506866417,569.725976454273,276.528731454333,532.9091463343632,65.90461087495572,52.887027583621645,41.529276605840394
4.5,0.22,3.5500000000000003,0.08499999999999999,2.4266431710362046,2.474423458177278,2.337677652933833,632.7867050001588,322.39781168290045,476.1072144020937,66.80657060467243,47.01063630526347,30.287951522483013
4.5,0.22,3.6500000000000004,0.11,2.349953245942572,2.4104981647940074,2.230710299625468,680.0414307194504,309.42003019708494,626.5823461110817,65.76740819039921,51.103723012865835,34.50643078443201
4.5,0.22,3.75,0.135,2.2783208489388262,2.332799887640449,2.1590263545568043,691.6866182368088,278.6849777570989,637.9286805961247,65.03935506255819,50.306078525074234,31.629645637863547
4.5,0.22,3.85,0.16,2.2107437453183523,2.2607251810237203,2.093800461922597,642.2640533138109,103.9195063926766,631.058222246367,65.63233398622022,48.60420198195399,34.06395248817515
4.575,0.265,3.45,0.06,2.4986391885143573,2.5609381523096126,2.4175805992509365,585.1139290925671,221.1996791286608,630.7449339528083,70.82586210725772,49.4223579284485,40.86295455676242
4.575,0.265,3.5500000000000003,0.08499999999999999,2.415214669163545,2.471036217228465,2.3233464294631707,649.7600058595496,310.2506362495088,523.5911231911219,66.73574061199808,48.56106822768902,36.465209458161866
4.575,0.265,3.6500000000000004,0.11,2.3404353807740326,2.395252446941323,2.2248799375780273,691.8962223478431,293.2013080066947,643.3663057208807,66.8670172580514,52.16528570618301,33.93142196711017
4.575,0.265,3.75,0.135,2.2708705617977527,2.320722833957553,2.1554439950062423,699.1895189850886,237.56209266146288,620.9535229836304,66.25911997900738,48.32478282970207,36.35104948380646
4.575,0.265,3.85,0.16,2.204712684144819,2.2511891760299627,2.0916150436953806,645.4891773428378,77.8693174150576,617.8379169759062,63.789685763433326,46.46057927523971,34.765645598393434
4.65,0.31,3.45,0.06,2.4817418476903867,2.4658736079900128,2.3610825093632957,605.538170564669,359.42636968678664,674.6502150649615,68.69664919996318,28.069712514400898,35.86910537726074
4.65,0.31,3.5500000000000003,0.08499999999999999,2.40175177278402,2.4157737453183525,2.306991061173533,662.278350833943,312.28860004482436,548.7866431241891,69.10672220377506,50.188962297474916,39.961940048109035
4.65,0.31,3.6500000000000004,0.11,2.3292530212234706,2.378196154806492,2.210808177278402,701.0574274442808,373.2216147242051,668.199010166886,65.50608144554752,51.11414228356663,34.13061051307223
4.65,0.31,3.75,0.135,2.261760424469413,2.3066441573033702,2.142280449438202,702.6265631926973,240.99491387813148,652.1176456272134,66.33501153716219,49.05786480297921,33.54672561466283
4.65,0.31,3.85,0.16,2.1970159675405743,2.238993782771536,2.08343252184769,643.6976991119926,106.20016836996308,613.5889444944048,67.39635024431524,49.08482376778018,31.31331250102897
4.725,0.355,3.45,0.06,2.4631122471910114,2.4965466916354555,2.3756841198501872,620.6563013362622,358.0376454324732,548.8499918600065,68.15844053312792,50.12081121632653,30.382164378403175
4.725,0.355,3.5500000000000003,0.08499999999999999,2.3862651935081147,2.4277581897627964,2.290640836454432,675.5876328682419,309.6714900462903,651.3770413155925,66.95839348055561,48.7912673386232,35.223614538286164
4.725,0.355,3.6500000000000004,0.11,2.3165209488139826,2.3560648689138577,2.1859339200998753,707.9454122646007,353.73216216070745,699.5359020900183,68.2202655202014,46.90256446084673,34.896182312253686
4.725,0.355,3.75,0.135,2.250853108614232,2.2899426217228465,2.133034656679151,702.202722835554,333.1939380310193,674.8955474418912,66.67892179036437,50.79327896949869,37.69977962761634
4.725,0.355,3.85,0.16,2.1877247066167294,2.225199413233458,2.07819354556804,632.9557779295126,92.88331036275103,617.4797086696557,64.24881764084911,48.253704349599715,35.6931652597424
4.8,0.4,3.45,0.06,2.442170399500624,2.408901198501873,2.3499362546816482,633.9343164589693,316.27691096321837,597.3325070847768,66.83219364460781,43.329583746665605,27.698688861632156
4.8,0.4,3.5500000000000003,0.08499999999999999,2.3688820474406995,2.375421697877653,2.232792297128589,684.9040144888702,333.42261754544273,663.6194724638628,70.11627593559466,42.56818997247748,33.75101230515749
4.8,0.4,3.6500000000000004,0.11,2.3019891136079895,2.289086129837703,2.159895093632959,709.0374381027989,336.0476130444694,695.5737266125498,67.57960979896171,28.230722617876342,31.14353697292838
4.8,0.4,3.75,0.135,2.238298352059925,2.270954019975031,2.11310936329588,696.9649361270318,260.1409090866154,672.9697458726245,67.55952691522457,50.615543255129424,37.986653988578766
4.8,0.4,3.85,0.16,2.17676961298377,2.2086921972534337,2.064736579275905,619.3176143066248,25.890726634206644,624.6208388906862,66.49896999622402,48.372572004461304,32.89170226160946
4.2,0.04,3.05,0.0001,2.9997368414481898,2.954413857677902,3.026911248439451,-753.116835244863,,-651.5578731615221,52.919588902927465,25.668508904918355,46.72369021575849
4.2,0.04,3.15,0.015074999999999998,2.913244556803995,3.0837834082396998,2.7257080149812736,242.26182118314512,37.16261151235237,341.651250292184,69.06583442783003,46.19450701422738,32.623910750415945
4.2,0.04,3.25,0.030049999999999997,2.757471835205992,2.9011209113607994,2.5469193133583024,346.7106764066366,198.67343270682292,358.5907022535694,68.08993005888351,52.902920525764216,33.26102579505718
4.2,0.04,3.35,0.045024999999999996,2.646642983770287,2.762351672908864,2.499312459425718,427.21718358705664,290.0970493107657,404.3146679816629,65.26306153721514,50.49120024550979,29.88764352446361
4.2,0.04,3.45,0.06,2.555606941323346,2.5609181273408237,2.491979825218477,499.13223828228433,251.00424250990667,422.777944988596,66.25609412871984,35.278596180721564,44.64160918324164
4.275,0.08499999999999999,3.05,0.0001,2.9294159550561796,2.9354015730337077,2.8080075530586766,-235.01716196389995,,-404.8594671098171,40.33033247644909,32.23095668267806,39.526833205709686
4.275,0.08499999999999999,3.15,0.015074999999999998,2.8828579900124844,2.9570495255930087,2.7118740574282145,418.0988257398367,284.7436706395207,425.69659401765085,66.7195542860407,45.695719997519326,34.452007596160485
4.275,0.08499999999999999,3.25,0.030049999999999997,2.7392846816479404,2.874746479400749,2.553920699126092,375.777323849509,263.335412954915,367.7117684181412,69.02571998038087,57.932052478111835,37.85190744924519
4.275,0.08499999999999999,3.35,0.045024999999999996,2.634371697877653,2.743739825218477,2.5362363920099873,450.29679647695036,342.06424992423337,375.5266988293663,65.74303175487465,51.01217956455842,37.75027845366642
4.275,0.08499999999999999,3.45,0.06,2.5471285892634206,2.5675233208489385,2.4405605493133584,517.804374671473,353.0102007818036,385.8225960948183,68.25897839739687,44.367635647344244,38.11455206023922
